Domain Code,Domain,Area Code (FAO),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value
"OER","Employment Indicators: Rural","3","Albania","21098","Employment by status of employment, total, rural areas","13","Total","2012","2012","3021","Household income and expenditure survey","1000 persons","318.083"
"OER","Employment Indicators: Rural","3","Albania","21108","Employment by status of employment, employees, rural areas","13","Total","2012","2012","3021","Household income and expenditure survey","1000 persons","101.292"
"OER","Employment Indicators: Rural","3","Albania","21109","Employment by status of employment, self-employed, rural areas","13","Total","2012","2012","3021","Household income and expenditure survey","1000 persons","216.791"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2010","2010","3023","Labour force survey","1000 persons","1603.641"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2010","2010","3023","Labour force survey","1000 persons","1326.05"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2010","2010","3023","Labour force survey","1000 persons","277.591"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2011","2011","3023","Labour force survey","1000 persons","1603.994"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2011","2011","3023","Labour force survey","1000 persons","1337.213"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2011","2011","3023","Labour force survey","1000 persons","266.781"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2012","2012","3023","Labour force survey","1000 persons","1736.561"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2012","2012","3023","Labour force survey","1000 persons","1465.511"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2012","2012","3023","Labour force survey","1000 persons","271.05"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2013","2013","3023","Labour force survey","1000 persons","1739.764"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2013","2013","3023","Labour force survey","1000 persons","1460.029"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2013","2013","3023","Labour force survey","1000 persons","279.735"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2014","2014","3023","Labour force survey","1000 persons","1758.729"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2014","2014","3023","Labour force survey","1000 persons","1461.984"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2014","2014","3023","Labour force survey","1000 persons","296.745"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2015","2015","3023","Labour force survey","1000 persons","1753.323"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2015","2015","3023","Labour force survey","1000 persons","1471.136"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2015","2015","3023","Labour force survey","1000 persons","282.187"
"OER","Employment Indicators: Rural","11","Austria","21098","Employment by status of employment, total, rural areas","13","Total","2016","2016","3023","Labour force survey","1000 persons","1758.544"
"OER","Employment Indicators: Rural","11","Austria","21108","Employment by status of employment, employees, rural areas","13","Total","2016","2016","3023","Labour force survey","1000 persons","1489.947"
"OER","Employment Indicators: Rural","11","Austria","21109","Employment by status of employment, self-employed, rural areas","13","Total","2016","2016","3023","Labour force survey","1000 persons","268.597"
