Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6796,'Humid tropical forest',2010,2010,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6796,'Humid tropical forest',2010,2010,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6796,'Humid tropical forest',2010,2010,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6796,'Humid tropical forest',2010,2010,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6796,'Humid tropical forest',2011,2011,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6796,'Humid tropical forest',2011,2011,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6796,'Humid tropical forest',2011,2011,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6796,'Humid tropical forest',2011,2011,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6796,'Humid tropical forest',2012,2012,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6796,'Humid tropical forest',2012,2012,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6796,'Humid tropical forest',2012,2012,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7230,'Emissions (N2O)',6796,'Humid tropical forest',2012,2012,3050,'FAO TIER 1','kilotonnes',0),
('GI','Fires',3,'Albania',7245,'Biomass burned (dry matter)',6796,'Humid tropical forest',2013,2013,3050,'FAO TIER 1','tonnes',0),
('GI','Fires',3,'Albania',7246,'Burned Area',6796,'Humid tropical forest',2013,2013,3050,'FAO TIER 1','ha',0),
('GI','Fires',3,'Albania',7225,'Emissions (CH4)',6796,'Humid tropical forest',2013,2013,3050,'FAO TIER 1','kilotonnes',0),
