Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2010","2010","m3","430000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2011","2011","m3","1180000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2012","2012","m3","1180000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2013","2013","m3","1180010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2014","2014","m3","1180010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2015","2015","m3","1180010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2016","2016","m3","1180010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2017","2017","m3","1230010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2018","2018","m3","1230010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1861","Roundwood","2019","2019","m3","917845"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2010","2010","m3","350000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2011","2011","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2012","2012","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2013","2013","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2014","2014","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2015","2015","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2016","2016","m3","1100000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2017","2017","m3","1150000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2018","2018","m3","1150000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1864","Wood fuel","2019","2019","m3","786240"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2010","2010","m3","80000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2011","2011","m3","80000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2012","2012","m3","80000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2013","2013","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2014","2014","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2015","2015","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2016","2016","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2017","2017","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2018","2018","m3","80010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1865","Industrial roundwood","2019","2019","m3","131605"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2010","2010","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2011","2011","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2012","2012","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2013","2013","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2014","2014","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2015","2015","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2016","2016","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2017","2017","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2018","2018","m3","15000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1868","Sawlogs and veneer logs","2019","2019","m3","128061"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2010","2010","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2011","2011","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2012","2012","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2013","2013","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2014","2014","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2015","2015","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2016","2016","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2017","2017","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2018","2018","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","2038","Pulpwood, round and split, all species (production)","2019","2019","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2010","2010","m3","65000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2011","2011","m3","65000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2012","2012","m3","65000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2013","2013","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2014","2014","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2015","2015","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2016","2016","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2017","2017","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2018","2018","m3","65010"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1871","Other industrial roundwood","2019","2019","m3","3544"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2010","2010","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2011","2011","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2012","2012","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2013","2013","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2014","2014","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2015","2015","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2016","2016","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2017","2017","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2018","2018","m3","5000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1695","Wood chips, particles and residues","2019","2019","m3","27428"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2012","2012","tonnes","1200"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2013","2013","tonnes","4900"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2014","2014","tonnes","14900"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2015","2015","tonnes","14900"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2016","2016","tonnes","35000"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2017","2017","tonnes","42000"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2018","2018","tonnes","42000"
"FO","Forestry Production and Trade","3","Albania","5510","Production","1696","Wood pellets and other agglomerates","2019","2019","tonnes","40000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2010","2010","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2011","2011","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2012","2012","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2013","2013","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2014","2014","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2015","2015","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2016","2016","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2017","2017","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2018","2018","m3","8000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1872","Sawnwood","2019","2019","m3","83716"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2010","2010","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2011","2011","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2012","2012","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2013","2013","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2014","2014","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2015","2015","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2016","2016","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2017","2017","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2018","2018","m3","11000"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1873","Wood-based panels","2019","2019","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2010","2010","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2011","2011","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2012","2012","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2013","2013","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2014","2014","m3","0"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1874","Fibreboard","2015","2015","m3","0"
